cve_mun_full,num_dispositivos_home_00_08,num_dispositivos_home_00_05,num_dispositivos_home_primero
24012,15,11,35
29037,15,12,31
30136,15,14,37
31020,15,13,27
14027,15,14,37
15078,15,11,28
07094,15,13,79
20483,15,13,31
17034,15,14,34
29004,15,11,34
15116,15,11,24
30186,15,9,24
21008,15,12,45
31098,15,14,28
06006,14,12,20
30036,14,10,32
04007,14,10,24
16054,14,14,22
05034,14,12,33
14104,14,11,31
16029,14,10,22
19007,14,11,31
21020,14,9,27
30194,14,12,37
30035,14,13,23
32012,14,12,23
21060,14,13,25
10015,14,12,33
13014,14,8,43
21152,14,9,31
31080,14,9,31
20077,14,11,31
14103,14,11,32
21040,14,10,35
16037,14,11,29
21126,14,13,26
21109,14,9,41
29012,14,11,50
20525,14,9,29
19037,14,10,40
16005,14,12,33
12032,13,8,31
20033,13,10,24
20526,13,9,25
31019,13,9,70
30001,13,10,28
12040,13,12,38
07021,13,12,37
18007,13,9,46
08028,13,13,25
15034,13,9,23
28004,13,10,33
20475,13,9,26
10033,13,11,36
13011,13,6,35
08059,13,10,29
05012,13,11,24
16046,13,12,39
19016,13,12,29
29009,13,11,31
30172,13,11,33
28011,13,9,50
21181,13,12,29
28001,13,10,29
31100,13,9,27
21073,13,11,33
07035,13,10,30
29035,13,9,23
30210,13,10,28
07002,13,11,32
31051,13,12,19
20063,12,11,22
31085,12,9,30
14038,12,10,20
08039,12,9,20
14075,12,8,23
21188,12,11,34
26022,12,11,136
31039,12,10,20
10026,12,10,19
08023,12,9,31
13025,12,8,34
20177,12,9,27
20568,12,5,87
07103,12,10,38
21066,12,11,19
20540,12,10,27
16061,12,11,30
13032,12,10,32
21183,12,10,26
21083,12,8,282
14057,12,10,25
28005,12,11,18
07092,12,7,31
26052,12,8,24
07043,12,8,27
16096,12,12,14
07083,11,7,33
07096,11,8,31
14004,11,9,24
07055,11,10,18
20294,11,11,35
24048,11,9,25
07075,11,8,41
21111,11,11,19
31028,11,9,21
20042,11,8,37
20550,11,8,19
07080,11,6,40
08065,11,8,65
08034,11,11,24
07004,11,5,55
08051,11,10,47
20348,11,8,22
22002,11,9,32
21203,11,7,31
30052,11,8,31
11034,11,9,26
29003,11,8,20
21058,11,6,24
17023,11,10,104
30050,11,9,20
30152,11,9,24
30199,11,9,31
30120,11,8,24
07014,11,7,26
21112,11,7,21
24030,11,9,14
07105,11,7,24
13040,10,8,27
20377,10,7,13
31032,10,9,26
30025,10,6,25
32030,10,8,16
30150,10,8,36
21116,10,9,21
30054,10,9,26
21006,10,9,16
13017,10,8,26
07081,10,7,35
21025,10,8,16
24029,10,8,23
26056,10,8,34
29052,10,6,18
